name,position,age,gamesPlayed,averagePoints,totalPoints,last3Avg,last5Avg,adp,rosteredPercentage,projectedScoresAvg,byeRounds,K,H,M,T,FF,FA,G,B,HO,aboveAvgGames20,belowAvgGames20,consistencyRating,nextFiveVenuesAvg,favouriteVenue,nextFiveOpponentsAvg,favouriteOpponent,favouriteOpponentRound,startPercentage,highScore,lowScore,lastRound,roundRank,seasonRank,
Rowan Marshall,RUC,30,23,105.8,2434,123.3,120,19,90.6,104.22,4&16,11.91,7.5,4.68,4.86,1.82,2.41,0.45,0.59,28.5,6,6,73,93.46,UTAS,96.74,CAR,8&22,0,158,52,0,0,0
Zak Butters,MID,25,20,99.9,1997,123.7,104,11,96.11,103.57,0&12,14.32,15.11,3.74,5.37,2.11,1.16,0.05,0.32,0,4,4,72,86.12,CGOM,82.28,GC,10,0,152,34,0,0,0
Marcus Bontempelli,MID,30,18,111.3,2003,130.7,127,7,99.07,102.87,3&16,14.94,13.71,4.94,5.76,1.59,0.76,1.24,1,0,4,4,75,101.99,TIO,98.51,ADE,2&14,0,166,50,0,0,0
Brodie Grundy,RUC,31,22,107,2353,107.3,116.2,12,94.39,102.7,3&15,7.62,12.76,3.52,4.05,2.52,2.1,0.33,0.24,38.43,6,6,75,104.22,ES,93.34,GWS,6&20,0,150,54,0,0,0
Zach Merrett,MID,30,21,103.4,2171,107.7,107.4,16,93.35,101.96,0&15,16.05,13.1,4,4.65,1.55,0.4,0.45,0.55,0,5,6,73,108.73,TIO,105.06,GC,6,0,149,54,0,0,0
Matt Rowell,MID,24,22,100.4,2208,84,100.6,27,89.3,101.27,3&12,12.86,14.24,1.76,9.14,2.29,2.76,0.33,0.24,0,4,5,72,97.5,MCG,87.97,RIC,2,0,145,50,0,0,0
Finn Callaghan,MID,22,20,99,1979,112,104,21,88.89,100.17,4&13,15.47,14.11,3.89,4.74,0.63,1.26,0.26,0.47,0,4,3,82,81.41,PFS,78.6,SYD,6&20,0,124,57,0,0,0
Nic Newman,DEF,33,0,0,0,0,0,32,85.15,100.04,2&14,0,0,0,0,0,0,0,0,0,0,0,75,85.17,PFS,87.05,STK,8&22,0,0,0,0,0,0
Will Ashcroft,MID,21,23,95.3,2193,101.7,100.8,24,89.56,99.83,2&15,13.82,14.5,4.36,3.18,1.41,0.41,0.45,0.5,0,2,4,78,84.38,ES,89,ESS,8&18,0,119,41,0,0,0
Max Holmes,MID,23,23,100.9,2321,83.3,100.8,23,90.65,99.78,2&16,17.45,10.64,5.68,3.36,0.82,0.95,0.5,0.41,0,6,8,73,82.54,TIO,86.14,GC,14,0,146,65,0,0,0
Errol Gulden,MID,23,10,102.3,1023,104.7,105.2,14,91.69,99.57,3&15,18.22,11.33,5.89,4.78,1.44,2,0.67,0.11,0,3,1,76,98.64,ES,100.15,WCE,4,0,133,71,0,0,0
Jarrod Witts,RUC,33,21,92.9,1951,100.3,95.6,44,76.38,99.17,3&12,5.3,7.9,1.65,3.8,2.5,1.15,0.15,0.2,45.55,3,0,82,82.42,SCG,88.49,SYD,5,0,138,75,0,0,0
Tom Green,MID,25,22,97.5,2146,94.3,84.4,49,39.72,98.91,4&13,14.19,16.76,3.24,3.76,0.76,1.24,0.62,0.52,0.05,3,2,81,94.29,GMHBA,90.39,GC,8&22,0,133,67,0,0,0
Andrew Brayshaw,MID,26,23,101,2324,80.7,82.8,25,86.09,98.87,0&14,12.59,15.36,2.95,7.05,2.05,1.41,0.32,0.36,0,4,4,80,96.07,BP,99.6,HAW,9,0,138,76,0,0,0
Jordan Dawson,MID,28,23,110.2,2535,113.7,114.4,13,93.67,97.61,0&12,16.36,8.36,4.91,7.91,1.64,1.36,0.77,0.86,0,4,4,82,105.01,TIO,94.17,NM,10,0,147,78,0,0,0
Jye Caldwell,MID,25,11,103.6,1140,103.3,109.6,29,84.11,97.43,0&15,12.45,13.45,4,6.73,0.73,1.09,0.45,0.27,0,2,3,73,82.92,MCG,81.31,GEE,22,0,146,57,0,0,0
Lachie Neale,MID,32,20,94.6,1892,106.3,110.4,41,78.04,97.17,2&15,13.3,13.75,3.95,3.75,0.75,0.9,0.35,0.2,0,6,4,74,95.86,PFS,94.3,WCE,19,0,128,37,0,0,0
George Hewett,MID,30,23,98.9,2274,98.3,106.6,42,77.1,96.87,2&14,11.55,17.86,3.18,5.95,1.73,1.41,0.32,0.23,0,5,4,75,77.1,UTAS,72.79,WCE,16,0,125,46,0,0,0
Caleb Serong,MID,25,23,92.4,2126,85.3,78.6,33,81.72,96.57,0&14,14.14,14.14,1.77,4.77,1.68,0.77,0.32,0.27,0,4,5,71,88.17,NOR,92.26,NM,13,0,146,46,0,0,0
Lloyd Meek,RUC,27,22,93.3,2052,91.3,89.2,48,75.13,96.35,3&14,5.67,8.24,2.67,4.33,1.48,1.86,0.48,0.29,39.86,5,7,71,84.75,ES,85.3,WB,5&13,0,138,44,0,0,0
Hugh McCluggage,MID,27,23,102.2,2350,112.7,108.6,28,86.5,96.3,2&15,15.77,12.5,4.59,4.86,1.27,1.36,0.59,0.55,0,3,3,78,83.16,NOR,89.71,WCE,19,0,152,60,0,0,0
Lachie Ash,DEF,24,23,100.1,2303,74.7,84.8,18,95.07,96.22,4&13,19.27,9.86,6.59,2.23,0.59,0.82,0.05,0.05,0,2,3,78,78.49,NOR,85.97,WB,1,0,135,29,0,0,0
Dayne Zorko,DEF,37,23,101.5,2334,99.7,86.8,26,90.34,96,2&15,21.77,5.23,7.14,2.45,1.14,1.05,0.14,0.27,0,5,6,78,97.07,NS,100.79,SYD,1&16,0,137,55,0,0,0
Sam Walsh,MID,25,14,93.1,1304,90,87.2,37,79.23,95.87,2&14,11.69,16.62,3.85,4.92,1.31,1.08,0.38,0.38,0,2,0,80,101.16,AO,96.81,FRE,7&24,0,137,76,0,0,0
Noah Anderson,MID,25,22,98.8,2174,77,92.2,31,84.89,95.17,3&12,15.1,16.33,3.81,3.33,1.1,1,0.38,0.43,0,3,5,75,102.8,NOR,95.59,RIC,2,0,133,48,0,0,0
Darcy Cameron,RUC,30,23,102,2345,97.3,96.4,30,81.62,95.09,2&14,11.23,7.45,5.41,2.91,2.55,1.27,0.27,0.27,29.5,5,5,81,78.73,ES,88.04,GWS,3,0,140,69,0,0,0
Mason Redman,DEF,28,18,86.1,1550,117.7,104.4,55,75.03,94.39,0&15,18.12,6.18,5.59,2,0.94,1,0.24,0.35,0,3,4,75,75.52,MRVL,74.04,GC,6,0,143,54,0,0,0
Jack Sinclair,DEF,31,23,100.8,2319,107.7,105.8,22,90.08,93.7,4&16,20.32,7.91,5,2.77,0.77,0.32,0.41,0.27,0,4,4,77,84.78,NOR,84.55,WCE,7,0,146,61,0,0,0
Nic Martin,MID/FWD,24,16,97.4,1559,59,77,53,48.08,92.35,0&15,14,10.31,6.94,2.63,0.69,0.56,0.69,0.38,0,4,5,68,94.42,OS,93.55,STK,17,0,166,18,0,0,0
Tim Taranto,MID,28,21,93.9,1971,80.7,99.6,58,74.14,92.09,0&13,10.95,15.95,3.15,5.15,1.25,0.75,0.75,0.25,0,3,1,82,100.05,UTAS,98.02,WB,20,0,132,70,0,0,0
Bailey Dale,DEF,29,23,92,2115,95.7,86.4,35,83.7,92.04,3&16,20.64,7.64,4.91,1.14,0.5,0.68,0.18,0.14,0,6,7,71,70.53,TIO,68.62,RIC,20,0,154,59,0,0,0
Colby McKercher,DEF,20,23,78.5,1805,82.7,94.2,40,80.74,91.78,0&12,15.55,8.64,3.55,1.82,0.18,1.09,0.55,0.05,0,6,5,65,70.97,MCG,67,STK,20,0,124,26,0,0,0
Toby Nankervis,RUC,31,22,91.1,2005,85.3,84.6,73,68.95,91.7,0&13,8.24,8.38,2.24,4,1.29,2.14,0.29,0.1,34.62,2,3,79,88.39,NOR,81.9,NM,6&15,0,150,66,0,0,0
Connor Rozee,DEF/MID,26,21,104.2,2189,101.7,91.6,15,92.73,91.65,0&12,18.9,9.95,5.1,3.95,1.4,1.1,0.55,0.35,0,3,5,77,89.21,CGOM,87.74,ESS,2&24,0,145,58,0,0,0
Luke Davies-Uniacke,MID,26,22,87.7,1929,117.3,104.4,63,68.85,91.04,0&12,12.24,13.67,3.9,4.33,0.9,1.62,0.38,0.43,0,1,2,69,86.97,GMHBA,78.84,RIC,6&15,0,162,17,0,0,0
Clayton Oliver,MID,28,22,89.7,1974,93.3,94.6,56,73.62,90.96,4&13,11.33,15.43,3,5.67,1.19,1.71,0.19,0.29,0,2,3,77,99.4,GMHBA,99.47,GEE,18,0,130,41,0,0,0
Jack Viney,MID,31,18,88.4,1591,84,96.2,93,43.09,90.52,0&16,10.71,12.47,2.76,7.18,1.65,1.29,0.24,0.35,0,4,3,71,90.92,SCG,86.65,ADE,15,0,134,50,0,0,0
Darcy Parish,MID,28,3,85.3,256,85.3,85.3,69,66.72,90.26,0&15,10.33,19,2.33,2.33,0.67,0.33,0,0.33,0,0,0,77,83.82,GMHBA,87.14,WCE,12,0,96,71,0,0,0
Ollie Wines,MID,31,20,89.5,1789,96.3,87.8,87,60.49,89.83,0&12,9.85,15.55,3.85,4.3,1.2,1.15,0.15,0.35,1.05,3,2,78,92.91,NS,90.19,FRE,19,0,127,40,0,0,0
Reilly O'Brien,RUC,30,23,90.9,2090,89.3,93.4,89,59.61,89.83,0&12,6.77,6.14,3.18,3.59,1.82,1.91,0.14,0.14,41.45,3,4,76,96.09,GMHBA,91.69,WB,2&14,0,128,54,0,0,0
Patrick Cripps,MID,30,23,88.8,2042,89.7,93,68,71.81,89.61,2&14,10,15.27,2.27,6,2.05,1.91,0.64,0.77,0.55,2,5,74,94.23,GMHBA,97.11,FRE,7&24,0,134,53,0,0,0
Jordon Sweet,RUC,28,19,81.4,1546,81.3,90.4,98,53.43,89.04,0&12,5.11,6.72,2,3.78,1.5,2.11,0.22,0.17,39.33,3,3,70,74.37,UTAS,74.64,HAW,6,0,132,38,0,0,0
Tom Liberatore,MID,33,23,99.5,2288,101.3,92.8,59,74.92,88.7,3&16,13.45,14.18,3.86,5.82,1.14,0.91,0.27,0.36,0,5,4,74,84.97,TIO,85.63,COL,12,0,142,52,0,0,0
Touk Miller,MID,30,20,92,1839,103.3,87.4,78,68.59,88.61,3&12,11.84,14.58,3.05,4.58,1.21,0.74,0.84,0.58,0,3,2,77,92.67,NS,89.12,CAR,20,0,131,33,0,0,0
Christian Salem,DEF,30,23,93,2138,99.3,99.6,54,77.31,87.96,0&16,16.91,7.05,8,2.32,0.23,0.5,0.05,0.09,0,4,3,75,77.16,G,81.44,GWS,12,0,139,49,0,0,0
Kieren Briggs,RUC,26,19,70.4,1337,79,70,96,56.28,87.91,4&13,6,5.44,2.06,3.28,1.11,1.78,0.17,0.22,29.11,3,3,68,76.79,OS,74.52,BL,11,0,103,8,0,0,0
Adam Cerra,MID,26,19,95.1,1806,83,80.2,92,58.98,87.86,2&14,13.63,11,4.26,4.68,1.42,0.84,0.26,0.16,0,2,3,77,82.96,TIO,84.49,FRE,7&24,0,121,59,0,0,0
Jai Newcombe,MID,24,23,86.4,1988,86.3,74.6,72,69.16,87.57,3&14,10.55,12.91,3.68,5.32,2.09,1.45,0.41,0.41,0,5,4,71,85.85,NOR,86.84,WB,5&13,0,142,37,0,0,0
Josh Daicos,DEF,27,23,94.2,2166,73,87,34,86.86,87.48,2&14,17.73,10.5,5.23,2.32,0.45,0.73,0.14,0.23,0,3,4,79,82.99,PFS,85,STK,-,0,132,64,0,0,0
Tom Atkins,MID,30,23,87.8,2019,91,86.2,91,59.03,86.78,2&16,8.68,11.73,2.23,9.32,1.55,1.5,0.18,0.18,0,2,1,83,74.42,NS,71.96,GC,14,0,120,58,0,0,0
Adam Treloar,MID/FWD,32,4,69.8,279,63,69.8,51,83.9,86.74,3&16,11,10.25,3,1.25,0.75,0.5,0.5,0,0,2,1,72,99.75,GMHBA,100.54,GEE,6,0,94,35,0,0,0
Archie Roberts,DEF,20,22,85.2,1874,94.7,85.8,64,71.44,86.52,0&15,13.62,11.81,5.52,2.29,1.05,0.9,0.1,0.14,0,4,3,78,95.82,AO,92.3,RIC,11,0,120,50,0,0,0
Elliot Yeo,MID,32,0,0,0,0,0,112,47.61,86.3,0&15,0,0,0,0,0,0,0,0,0,0,0,81,83.8,NS,86.54,SYD,4,0,0,0,0,0,0
Ed Richards,MID,26,23,96.7,2223,95.7,94.4,57,74.97,86.26,3&16,16.05,10.91,3.5,3.82,0.95,0.77,1,0.68,0,3,3,81,64.14,GMHBA,69.82,COL,12,0,131,64,0,0,0
Will Setterfield,MID,28,13,95.9,1247,77.3,89.6,102,55.97,86,0&15,11.38,10.31,4.15,7.38,1.46,1,0.08,0.23,0,2,2,78,80.17,TIO,83.67,NM,3&16,0,138,65,0,0,0
Tom Stewart,DEF,32,18,80.3,1446,96,85,74,69.78,85.48,2&16,16,4.06,8.18,1.53,1.12,0.94,0,0,0,6,4,62,88.87,NS,87.51,GC,14,0,112,9,0,0,0
Isaac Heeney,MID,29,23,96.9,2228,96.3,96.6,43,79.23,85.3,3&15,13.55,11.09,3.95,4,1.59,0.68,1.68,0.95,0,3,3,77,88.64,AO,88.14,WCE,4,0,166,72,0,0,0
Nick Blakey,DEF,26,23,85,1955,88.7,89.8,71,71.39,85.26,3&15,18.18,4.18,5.73,1.5,0.82,0.41,0.45,0.45,0,4,4,71,71.39,MCG,72.13,HAW,2,0,133,36,0,0,0
Tom McCarthy,DEF,25,10,83.5,835,82.7,84.2,60,73.26,84.96,0&15,17.11,9.11,5.11,2.33,0.78,0.78,0,0.11,0,0,0,87,79,MRVL,75,CAR,16,0,101,70,0,0,0
Karl Amon,DEF,30,22,88.6,1950,98.7,87.2,76,69.94,84.87,3&14,17.95,7.38,5.05,2.38,0.71,0.62,0.1,0.14,0,3,4,80,85.82,NS,76.85,STK,12,0,119,58,0,0,0
Jordan Clark,DEF,25,23,90.2,2075,72,77.2,52,77.67,84.83,0&14,16.82,8.59,5.14,3.09,1.09,0.95,0.09,0.14,0,5,6,72,73.24,TP,82.39,CAR,7&24,0,134,46,0,0,0
Luke Ryan,DEF,30,23,81.9,1884,77.3,66.4,86,60.96,84.57,0&14,16.55,5.05,6.32,2.14,0.73,0.77,0,0,0,3,4,74,84.08,TP,91.54,STK,11,0,127,49,0,0,0
Jayden Short,DEF,30,15,87,1305,86,86,85,64.07,84.52,0&13,18,4.71,7.5,1.71,1.07,0.64,0.21,0,0,2,2,82,85.55,BP,80.95,FRE,3,0,109,57,0,0,0
Jacob Hopper,MID,29,23,84.3,1938,71.3,80.4,114,48.55,84.22,0&13,11.68,15.91,3.41,3.23,1.18,1.68,0.27,0.32,0,1,4,80,84.16,UTAS,83.2,GWS,5,0,127,52,0,0,0
John Noble,DEF,28,22,90.7,1995,74.3,85.2,70,73.26,84.22,3&12,18.71,7.86,5.14,2.38,0.67,1.14,0.14,0.1,0,5,4,77,84.24,TIO,73.28,COL,17,0,117,46,0,0,0
Matthew Kennedy,MID,28,23,96.5,2220,91.3,90.8,82,67.03,83.96,3&16,13.14,11.09,4.68,5.32,1.18,1.09,0.95,0.36,0,1,2,78,71.71,TIO,79.8,HAW,5&13,0,132,30,0,0,0
Rory Laird,DEF,32,20,92.6,1851,94,97.6,65,73.88,83.78,0&12,13.79,11.32,6.37,3.63,1.05,0.53,0.05,0,0,0,2,84,96.68,TP,96.83,CAR,5,0,110,60,0,0,0
Jack Macrae,MID,31,21,90.9,1909,67,73.2,90,62.15,83.65,4&16,12,13.8,3.3,5.7,1.5,0.95,0.05,0.2,0,4,4,69,103.76,TIO,107.56,COL,-,0,153,34,0,0,0
Marcus Windhager,MID,22,23,82,1886,99,89.2,113,51.19,83.65,4&16,12.73,10.36,4.5,3.5,1.36,1.09,0.18,0.14,0,5,5,69,64.5,TP,60.11,NM,20,0,133,41,0,0,0
Jason Horne-Francis,MID,22,15,82.2,1233,78,82.6,94,59.92,83.39,0&12,13.4,7.47,4.13,2.93,1.27,1.6,0.93,0.87,0,4,3,66,76.43,GMHBA,79.87,MEL,23,0,125,11,0,0,0
Nick Bryan,RUC,24,4,57.8,231,50,57.8,141,29.44,83.3,0&15,7.5,2.25,1.75,1.75,0.75,0.5,0,0.25,19,1,1,63,40.63,GMHBA,42.9,GEE,22,0,81,11,0,0,0
Chad Warner,MID,24,23,88.1,2027,87,85.2,80,66.61,82.65,3&15,15,8.18,4.14,3.68,1.14,1.27,0.91,0.86,0,4,2,78,88.11,PFS,87.71,ESS,23,0,129,41,0,0,0
Matt Roberts,DEF,22,18,82.7,1489,77.7,62.8,106,54.41,82.65,3&15,14.61,6.61,6,2,0.83,0.56,0.06,0.17,0,2,2,76,71.2,G,73.77,ESS,23,0,114,36,0,0,0
Jake Bowey,DEF,23,23,86.4,1988,89,87.2,121,34.99,82.65,0&16,16.5,7.09,5.41,2.68,0.95,0.59,0.09,0,0,3,3,80,66.49,PFS,73.52,RIC,7&18,0,123,60,0,0,0
Callum Mills,DEF,28,12,90,1080,95.3,96,75,69.83,82.57,3&15,14.73,11.18,7.18,2.55,0.64,0.64,0.18,0.09,0,2,3,67,87.55,UTAS,88.47,WCE,4,0,116,62,0,0,0
Jordan Ridley,DEF,27,10,63.2,632,67.7,62.4,129,32.81,82.48,0&15,12.1,4.9,5.5,0.6,0.4,0.8,0,0.2,0,2,3,57,75.01,SCG,74.27,FRE,10,0,100,26,0,0,0
Darcy Fort,RUC,32,17,69.2,1176,70,69,143,31.57,82.43,2&15,6.06,4.63,2,2.81,0.94,1.06,0.25,0.31,29.25,1,0,79,53.87,CGOM,52.21,GEE,10&17,0,92,50,0,0,0
Scott Pendlebury,MID,38,20,86.6,1731,86,84.8,131,47.09,82.26,2&14,11.79,12.58,4.53,4.26,0.95,0.74,0.16,0.26,0,4,3,73,94.52,MRVL,92.87,CAR,6&19,0,120,30,0,0,0
Ned Long,MID,23,23,77,1772,65.7,65.2,140,40.86,82.22,2&14,7.64,11,2.68,7.18,0.82,1.45,0.32,0.36,0.14,4,5,69,78.92,MRVL,66.95,NM,18,0,132,30,0,0,0
Luke Parker,MID,33,22,86.7,1907,108.3,98.4,127,46.99,82,0&12,12,12.43,3.71,4.52,1.14,1.38,0.57,0.29,0,5,4,72,91.6,CGOM,94.39,MEL,19,0,116,36,0,0,0
Josh Worrell,DEF,24,23,75.2,1730,76.7,75.2,117,46.52,81.78,0&12,14.82,6.36,5.77,1.41,0.82,0.77,0,0,0,4,3,77,70.66,NS,70.18,RIC,9&22,0,103,42,0,0,0
Will Brodie,MID,27,0,0,0,0,0,146,36.5,81.61,0&12,0,0,0,0,0,0,0,0,0,0,0,78,76.51,CGOM,78.56,GWS,21,0,0,0,0,0,0
Caleb Daniel,DEF,29,23,85,1956,73.7,79.2,100,57.84,81.43,0&12,17.09,9.68,4,2,0.32,0.68,0,0,0,3,2,83,87.07,TIO,78.43,HAW,21,0,115,57,0,0,0
Ned Reeves,RUC,27,1,63,63,63,63,149,23.68,81,3&14,4,2,0,3,1,0,0,0,34,0,0,65,61.19,NOR,50.83,WB,5&13,0,63,63,0,0,0
Christian Petracca,MID/FWD,30,23,90.3,2077,86.7,84.4,20,97.82,80.91,3&12,12.05,14.55,3.73,3.55,0.68,0.95,0.82,1.09,0,2,2,82,90.92,ES,87.67,NM,11,0,121,70,0,0,0
Darcy Wilmot,DEF,22,23,79.6,1830,98.3,90,107,53.95,80.87,2&15,14.05,6.73,6.18,2.23,0.64,0.73,0.27,0.05,0,3,1,72,79.35,PFS,75.85,STK,3,0,144,50,0,0,0
Jy Simpkin,MID/FWD,27,21,83.1,1746,97.3,96,61,81.41,80.52,0&12,13.45,9.8,4.25,3.35,1,1.3,0.6,0.5,0,5,6,72,81.44,BP,74.1,GC,11,0,125,44,0,0,0
Sam Banks,DEF,22,22,79.5,1748,85.7,86.8,109,53.32,80.43,0&13,14.57,7.62,4.86,2.24,0.76,0.43,0.19,0.14,0,5,4,75,61.02,GMHBA,50.92,GEE,24,0,121,25,0,0,0
Liam Duggan,DEF,29,21,79,1658,73.3,83.2,133,43.77,80.39,0&15,15.19,5.05,5.71,1.95,0.48,0.71,0,0,0,3,3,77,77.15,HO,71.34,STK,7,0,116,50,0,0,0
Nick Vlastuin,DEF,31,22,77.3,1700,60.3,78,145,39.67,80.3,0&13,14.05,5.09,6.09,2.14,1.5,1.14,0,0.05,0,6,5,65,79.72,BP,72.87,GC,2,0,129,3,0,0,0
Jarrod Berry,MID,28,21,85,1786,75.7,77.4,130,46.63,80.26,2&15,12.19,7.86,5.9,3.43,1.67,0.86,0.33,0.24,0,5,1,70,76.94,GMHBA,74.07,WCE,19,0,119,5,0,0,0
Willem Drew,MID,27,23,75.1,1728,66.3,79.6,165,31.46,80.26,0&12,8.45,10.55,2.27,6.82,1.09,1.32,0.09,0.32,0,3,3,76,75.48,PFS,79.6,MEL,23,0,120,43,0,0,0
Sam Durham,MID,24,19,78.4,1489,84,77.4,132,44.6,80.17,0&15,10.16,12.16,2.79,4.05,1.37,1.63,0.37,0.32,0,3,2,77,76.65,AO,70.71,GC,6,0,103,33,0,0,0
George Wardlaw,MID,21,13,68,884,87.7,71.6,163,28.97,79.91,0&12,10.67,6.17,1.75,5.83,1.33,0.92,0.33,0.17,0,2,2,67,74.56,CGOM,69.52,MEL,19,0,103,11,0,0,0
Tom De Koning,RUC,26,22,84.7,1864,71.7,73,77,68.43,79.43,4&16,9.24,8.9,3.43,2.43,1.67,1.67,0.29,0.48,24.38,6,4,71,74.65,MCG,67.84,GEE,19,0,132,44,0,0,0
Zac Bailey,MID/FWD,26,22,83.5,1837,108.3,98.8,50,86.5,79.3,2&15,12.62,8,4.95,2.33,1.43,0.95,1.57,1.43,0,5,4,72,64.53,NOR,68.97,FRE,12,0,124,34,0,0,0
Jack Graham,MID/FWD,28,18,82.7,1488,90,83.6,83,72.95,79.17,0&15,10.47,9.88,2.12,8.29,1.71,1.94,0.12,0.24,0,1,1,81,73.89,SCG,73.34,RIC,8&21,0,104,58,0,0,0
Keidean Coleman,DEF,25,1,73,73,73,73,115,51.61,79,2&15,13,6,6,1,0,0,0,0,0,0,0,68,65.12,UTAS,60.52,ESS,8&18,0,73,73,0,0,0
Will Day,MID,24,6,86.8,521,80,78.4,172,36.29,78.86,3&14,10.5,10.5,3,5.17,2.5,1.5,1,0.67,0,1,0,65,72.09,PFS,78.24,NM,21,0,129,68,0,0,0
Jeremy Cameron,FWD,32,23,83.7,1925,86.7,99.8,62,82.66,78.61,2&16,11.68,2.68,6,1.73,0.86,1.05,3.77,1.64,0.18,5,7,65,78.57,UTAS,76.9,GC,14,0,157,36,0,0,0
Kysaiah Pickett,MID/FWD,24,20,87.3,1745,70.7,79.2,36,89.41,78.43,0&16,14.42,6.16,3.21,3.84,1.05,1.32,2.11,1.53,0,2,6,74,63.31,CGOM,59.98,ADE,15,0,126,42,0,0,0
Jake Lloyd,MID,32,22,84.1,1851,78.7,81,167,33.8,78.39,3&15,13.19,7.81,7.48,2.24,0.57,0.52,0.33,0.57,0,4,2,78,92.18,OS,88.8,WCE,4,0,116,58,0,0,0
Marc Pittonet,RUC,29,7,70.3,492,57.7,67.8,164,31.1,78.17,2&14,4.57,7.43,1.71,3.43,1.43,1.43,0.29,0,24,1,1,77,57.1,GMHBA,56.7,WCE,16,0,93,49,0,0,0
Hayden Young,MID,24,8,62.5,500,56,49,95,55.45,78.04,0&14,10,7.57,2.43,3.57,0.86,0.71,1,0,0,3,3,64,87.94,TP,87.01,RIC,3,0,98,13,0,0,0
Tom Powell,MID,23,23,86.9,1999,63.7,79.8,135,47.4,77.78,0&12,10.95,13.09,4,4.95,0.55,0.82,0.27,0.27,0,4,4,75,74.95,HO,71.14,GEE,8&23,0,121,41,0,0,0
Jaspa Fletcher,DEF,22,23,83,1910,97,91.2,88,63.5,77.74,2&15,14.5,7.64,6.95,1.68,0.5,0.59,0.27,0.09,0,3,2,79,58.05,NS,68.89,WB,-,0,141,36,0,0,0
James Sicily,DEF,31,20,79.1,1582,85.7,89.8,111,53.58,77.7,3&14,14.21,6.58,7.05,1.68,1.16,1.21,0.32,0.16,0,4,3,73,80.87,CGOM,80.27,WB,5&13,0,110,20,0,0,0
Trent Rivers,DEF,24,23,82.3,1893,81,87,99,56.85,77.57,0&16,13.73,8.55,5.68,2.59,0.82,0.64,0.18,0.36,0,3,3,75,68.99,PFS,72.46,WCE,9,0,122,31,0,0,0
Luke Jackson,RUC,24,20,94.9,1897,79,88.8,38,78.56,77.48,0&14,7.63,11.05,3.63,4.16,1.63,1.37,1,0.32,23.47,2,3,79,74.33,UTAS,79.82,MEL,2&22,0,144,56,0,0,0
Jake Soligo,MID,23,23,82.8,1904,63,73.2,142,43.35,77.3,0&12,12.91,9.18,2.95,4.86,1.5,1.36,0.59,0.18,0,4,5,74,73.61,UTAS,66.3,STK,6,0,125,43,0,0,0
Andrew McGrath,DEF,27,22,75.3,1657,106,96,128,45.64,76.65,0&15,10.29,13.62,3.81,2.52,0.57,0.57,0.05,0.14,0,5,6,64,79.38,GMHBA,77.84,STK,17,0,134,35,0,0,0
