"Action","Position","Player","Club","Relative Value","RV_info","vs. Next Pick","VNP_info","WaiverStr","WS_info","max_ws","PS_info","Av.25","Projected","ADP","Risk","DPP","ID_AFLFAN","Coach_name","position.field","pick","Coach_pick","B23","Gm.25","Notes"
"✓       ✕","Def","Nic Newman","CAR","22.3","Def: 22.3  Flex: 16  No Inj. Adjustment.","-2.6","","1.1","","16.7","","","101.4","32","High","No","297907","","","","","✔","","Suspension/Interrupted pre-season: Rd 2 return. Hamstring issues. Coming off an injured 2024, likely to return to 90+. A hamstring niggle in pre-season. Was fit at end of 2025."
"✓       ✕","Mid","Isaac Heeney","SYD","21.3","Mid: 21.3  Flex: 15.3  No Inj. Adjustment.","-13.4","","2.6","","15.2","G1: 131 Official: 91","96.9","100.7","43","Low","No","298539","","","","","✔","23","Role: Scoring was down in early 2025, but back up to 100+ in back half. Big 2026 likely."
"✓       ✕","Ruck","Tristan Xerri","NTH","21.2","Ruck: 21.2  Flex: 21.2  No Inj. Adjustment.","-3.9","","0","","17.8","G1: 62","105","106.6","6","Low","No","1004965","","","","","✔","20","Poor health in 2025, likely to get a scoring bump in 2026. Ruck rules may impact him."
"✓       ✕","MidFwd","Izak Rankine","ADE","20.8","Mid: 12.2  Fwd: 20.8  Flex: 6.8  Susp. or Inj. Adjust: -1.8","-16.1","Mid: -21.3  Fwd: -16.1","3.1","Mid: 4.7  Fwd: 3.1","14.7","","87.2","92.8","46","Low","Yes","1001195","","","","","✔","22","Suspension: Round 2 return. Role: Very likely to maintain mid time in 2026. Interrupted pre-season: Ankle injury, will miss practice games but shouldn't miss regular season games"
"✓       ✕","Mid","Noah Anderson","GCS","20.6","Mid: 20.6  Flex: 14.6  No Inj. Adjustment.","-14.1","","2.7","","15.1","G1: 0 Official: 77","99.3","100","31","Low","No","1009199","","","","","✔","25","Role unlikely to change."
"✓       ✕","Def","Dayne Zorko","BRL","20.6","Def: 20.6  Flex: 14.3  No Inj. Adjustment.","-4.3","","1.3","","16.5","G1: 111","104.1","99.7","26","Medium","No","261224","","","","","✔","27","No word of any injuries. May be a safe pick for 2026 given age."
"✓       ✕","MidFwd","Kysaiah Pickett","MEL","20.5","Mid: 11.1  Fwd: 20.5  Flex: 5.1  No Inj. Adjustment.","-18.4","Mid: -23.6  Fwd: -18.4","3.8","Mid: 5.5  Fwd: 3.8","14","G1: 127 Official: 50","87.2","90.5","36","Medium","Yes","1008541","","","","","✔","20","Role: Likely to maintain midfield. Poor floor."
"✓       ✕","MidFwd","Joel Freijah","WBD","19.8","Mid: 10.4  Fwd: 19.8  Flex: 4.4  No Inj. Adjustment.","-19.1","Mid: -24.3  Fwd: -19.1","4.1","Mid: 5.7  Fwd: 4.1","13.7","G1: 58 Official: 83","71.3","89.8","108","Low","Yes","1027704","","","","","✔","23","Role: Likely moving into mid field with Treloar age & injury. Training full time mid."
"✓       ✕","Mid","Zak Butters","PTA","19.5","Mid: 19.5  Flex: 13.5  No Inj. Adjustment.","-15.2","","3","","14.8","","99.8","98.9","11","Low","No","1006121","","","","","✔","20",""
"✓       ✕","MidFwd","Christian Petracca","GCS","19.3","Mid: 9.9  Fwd: 19.3  Flex: 3.9  No Inj. Adjustment.","-19.6","Mid: -24.8  Fwd: -19.6","4.3","Mid: 5.9  Fwd: 4.3","13.5","G1: 64 Official: 88","90.4","89.3","20","Low","Yes","298210","","","","","✔","23","Role: Mid/fwd rotations likely. Hard to break into team as full mid. Scoring shouldnt decline."
"✓       ✕","Fwd","Dylan Moore","HAW","19.2","Fwd: 19.2  Flex: 3.8  No Inj. Adjustment.","-19.7","","4.3","","13.5","G1: 63 Official: 65","82","89.2","66","Low","No","1006314","","","","","✔","26","Role: Likely to get mid time bump. High scoring high half forward. Scoring could get back to 2024 levels."
"✓       ✕","Fwd","Gryan Miers","GEE","19","Fwd: 19  Flex: 4.3  Susp. or Inj. Adjust: -0.8","-19","","4","","13.8","G1: 62","92.8","89.9","45","Low","No","1004938","","","","","✔","24","Injury: Thumb, return Rd 1 or 2. Role: Had a lot of mid time in back half of 2025. Scoring may drop a little if that doesn't continue."
"✓       ✕","Mid","Will Ashcroft","BRL","19","Mid: 19  Flex: 13  No Inj. Adjustment.","-15.7","","3.1","","14.7","G1: 95 Official: 54","98.4","98.4","24","Low","No","1023517","","","","","✔","27","Role: PS game indicated he may be the #1 CBA mid. Likely bump him up your order."
"✓       ✕","Def","Colby McKercher","NTH","18.6","Def: 18.6  Flex: 12.3  No Inj. Adjustment.","-6.3","","1.6","","16.2","","78.5","97.7","40","Low","No","1024272","","","","","✔","23","Flag: Cracked finger, likely to play Rd1, unlikely to impact scoring. Role: Gun scorer off half back, likely role for 2026."
"✓       ✕","Mid","Caleb Serong","FRE","18.4","Mid: 18.4  Flex: 12.4  No Inj. Adjustment.","-16.3","","3.2","","14.6","G1: 102","94.3","97.8","33","Low","No","1009420","","","","","✔","24","Scoring impacted by team scoring/style. If you see Dockers retaining the ball more his scoring will improve"
"✓       ✕","Mid","Tim Taranto","RIC","18","Mid: 18  Flex: 12  No Inj. Adjustment.","-16.7","","3.3","","14.5","G1: 34 Official: 52","89.6","97.4","58","Low","No","998172","","","","","✔","22","Good scorer but points seem capped by team total points"
"✓       ✕","Ruck","Brodie Grundy","SYD","17.9","Ruck: 17.9  Flex: 17.9  No Inj. Adjustment.","-7.2","","0.1","","17.7","G1: 87 Official: 89","107","103.3","13","Low","No","293957","","","","","✔","22",""
"✓       ✕","MidFwd","Jack Graham","WCE","17.7","Mid: 8.3  Fwd: 17.7  Flex: 2.3  No Inj. Adjustment.","-21.2","Mid: -26.4  Fwd: -21.2","4.9","Mid: 6.6  Fwd: 4.9","12.9","","82.7","87.7","83","High","Yes","990827","","","","","✔","18","Interrupted pre-season: Hamstring strain."
"✓       ✕","Mid","Hayden Young","FRE","17.3","Mid: 17.3  Flex: 11.3  No Inj. Adjustment.","-17.4","","3.5","","14.3","G1: 65","65.1","96.7","95","Medium","No","1009256","","","","","✔","9","Role: Full fitness should mean mid time. How much in questionable with Jackson. May rotate off half FWD. DPP watch."
"✓       ✕","Mid","Jack Steele","MEL","17.3","Mid: 17.3  Flex: 11.3  No Inj. Adjustment.","-17.4","","3.5","","14.3","G1: 106 Official: 62","91.5","96.7","17","Low","No","296205","","","","","✔","22","Role: Likely number 1 mid."
"✓       ✕","Mid","George Hewett","CAR","17.2","Mid: 17.2  Flex: 11.2  No Inj. Adjustment.","-17.5","","3.5","","14.3","G1: 87 Official: 104","98.9","96.6","42","Medium","No","294036","","","","","✔","23",""
"✓       ✕","Mid","Jye Caldwell","ESS","16.9","Mid: 16.9  Flex: 10.9  No Inj. Adjustment.","-17.8","","3.6","","14.2","G1: 83","103.6","96.3","29","Medium","No","1006103","","","","","✔","11","Role: Main mid, set for big year. Only downside would be sharing points with Merrett and Parish"
"✓       ✕","Ruck","Darcy Cameron","COL","16.3","Ruck: 16.3  Flex: 16.3  No Inj. Adjustment.","-8.8","","0.1","","17.7","","101.2","101.7","30","Low","No","990291","","","","","✔","25",""
"✓       ✕","Mid","Ed Richards","WBD","16.1","Mid: 16.1  Flex: 10.1  No Inj. Adjustment.","-18.6","","3.8","","14","Official: 96","96.7","95.5","57","Low","No","1008280","","","","","✔","23","Role: Mid time to continue."
"✓       ✕","Ruck","Luke Jackson","FRE","16.1","Ruck: 16.1  Flex: 16.1  No Inj. Adjustment.","-9","","0.1","","17.7","","95.3","101.5","38","Medium","No","1009399","","","","","✔","21","Role: May play as a mid. Either way will be around the ball if Darcy is injured."
"✓       ✕","Mid","Lachie Neale","BRL","16.1","Mid: 16.1  Flex: 10.1  No Inj. Adjustment.","-18.6","","3.8","","14","G1: 65 Official: 108","94.3","95.5","41","Medium","No","293535","","","","","✔","22",""
"✓       ✕","Def","Miles Bergman","PTA","16","Def: 16  Flex: 9.7  No Inj. Adjustment.","-8.9","","2.1","","15.7","G1: 45","78.3","95.1","97","Medium","No","1009191","","","","","✔","19","Interrupted-preseason: Foot niggle available rd1. Role: Likely full mid time."
"✓       ✕","Mid","Luke Davies-Uniacke","NTH","15.6","Mid: 15.6  Flex: 9.6  No Inj. Adjustment.","-19.1","","4","","13.8","G1: 64","87.7","95","63","Low","No","1002267","","","","","✔","22","Role: Scoring may increase if tag goes to Sheezel and total team points increases. May lose points to better mids around him as well."
"✓       ✕","Def","Jack Sinclair","STK","15.4","Def: 15.4  Flex: 9.1  No Inj. Adjustment.","-9.5","","2.2","","15.6","","100.7","94.5","22","Low","No","994389","","","","","✔","23","Role: Half back, possibly less competition with Nas as he moves into midfield."
"✓       ✕","Def","Rory Laird","ADE","15.2","Def: 15.2  Flex: 8.9  No Inj. Adjustment.","-9.7","","2.3","","15.5","G1: 57","93.2","94.3","65","Low","No","293222","","","","","✔","22","Role: May get more kick ins with Keane injury."
"✓       ✕","Mid","Finn Callaghan","GWS","15","Mid: 15  Flex: 9  No Inj. Adjustment.","-19.7","","4.2","","13.6","","100.6","94.4","21","Low","No","1023266","","","","","✔","21","Interrupted pre-season: Minor hip complaint. May miss a couple of weeks training before the season."
"✓       ✕","Def","Josh Daicos","COL","14.8","Def: 14.8  Flex: 8.5  No Inj. Adjustment.","-10.1","","2.4","","15.4","","94","93.9","34","Low","No","1005054","","","","","✔","25","Role: Midfield time. Likely won't impact scoring."
"✓       ✕","Def","Christian Salem","MEL","14.4","Def: 14.4  Flex: 8.1  No Inj. Adjustment.","-10.5","","2.5","","15.3","G1: 38 Official: 50","93","93.5","54","High","No","296359","","","","","✔","23","Interrupted pre-season: Hamstring niggle but available Rd1. Should score well with Bowey Injury and May on the out."
"✓       ✕","Mid","Darcy Parish","ESS","14.4","Mid: 14.4  Flex: 8.4  No Inj. Adjustment.","-20.3","","4.3","","13.5","G1: 71","85.3","93.8","69","Medium","No","993817","","","","","✔","3","Role: Scores to improve due to poor health in 2025."
"✓       ✕","Mid","Matt Rowell","GCS","14.1","Mid: 14.1  Flex: 8.6  Susp. or Inj. Adjust: -1.2","-19.3","","4","","13.8","","101.5","94.8","27","Low","No","1009208","","","","","✔","25","Injury: Finger, Return ?Rd 2. Role unlikely to change"
"✓       ✕","Def","Jaspa Fletcher","BRL","14","Def: 14  Flex: 7.7  No Inj. Adjustment.","-10.9","","2.6","","15.2","G1: 57 Official: 56","83.7","93.1","88","Low","No","1023708","","","","","✔","27","Role: May player higher on a wing if Coleman comes into the side. May reduce scoring."
"✓       ✕","Ruck","Toby Nankervis","RIC","13.9","Ruck: 13.9  Flex: 13.9  No Inj. Adjustment.","-11.2","","0.1","","17.7","G1: 29 Official: 62","91.1","99.3","73","Low","No","298174","","","","","✔","22","Flag: New ruck rules and age may impact scoring in 2026."
"✓       ✕","Mid","Clayton Oliver","GWS","13.8","Mid: 13.8  Flex: 7.8  No Inj. Adjustment.","-20.9","","4.5","","13.3","G1: 79 Official: 58","89.7","93.2","56","Medium","No","996701","","","","","✔","22","Interrupted pre-season: calf strain. Role: Moved club, might see a bump in scoring with full pre-season."
"✓       ✕","MidFwd","Zac Bailey","BRL","13.7","Mid: 4.3  Fwd: 13.7  Flex: -1.7  No Inj. Adjustment.","-25.2","Mid: -30.4  Fwd: -25.2","6.9","Mid: 8.4  Fwd: 6.9","10.9","G1: 90 Official: 91","85","83.7","50","Medium","Yes","1002312","","","","","✔","26",""
"✓       ✕","Mid","Adam Cerra","CAR","12.9","Mid: 12.9  Flex: 7.9  Susp. or Inj. Adjust: -2.2","-19.1","","4","","13.8","G1: 51","95.1","95","92","High","No","1002239","","","","","✔","19","Injury: Hamstring in first PS game. Return Rd 3+"
"✓       ✕","Mid","Patrick Cripps","CAR","12","Mid: 12  Flex: 6  No Inj. Adjustment.","-22.7","","5.1","","12.7","Official: 117","88.8","91.4","68","Low","No","990704","","","","","✔","23",""
"✓       ✕","RuckFwd","Sam Draper","BRL","11.8","Ruck: -2.7  Fwd: 11.8  Flex: -2.7  Susp. or Inj. Adjust: -1","-26","Ruck: -27.6  Fwd: -26","0.4","Fwd: 7.3  Ruck: 0.4","17.4","","82","82.9","104","High","Yes","1005577","","","","","✔","5","Injury: Foot, Return round 2."
"✓       ✕","Mid","Chad Warner","SYD","11.8","Mid: 11.8  Flex: 5.8  No Inj. Adjustment.","-22.9","","5.2","","12.6","Official: 62","88.1","91.2","80","Low","No","1012014","","","","","✔","23",""
"✓       ✕","MidFwd","Adam Treloar","WBD","11.5","Mid: 2.1  Fwd: 11.5  Flex: -3.9  No Inj. Adjustment.","-27.4","Mid: -32.6  Fwd: -27.4","8.2","Mid: 9.5  Fwd: 8.2","9.6","","69.8","81.5","51","High","Yes","291790","","","","","✔","4","Interrupted pre-season: Hamstring and Calf tightness. Role: Likely less mid time as he ages and doesnt get a full pre-season."
"✓       ✕","Def","Callum Mills","SYD","11.4","Def: 11.4  Flex: 5.1  No Inj. Adjustment.","-13.5","","3.3","","14.5","G1: 80 Official: 57","90","90.5","75","High","No","993905","","","","","✔","12","Interrupted pre-season: Hamstring, will play Rd0. Role: Apparently lining up off half back."
"✓       ✕","Def","Jordan Clark","FRE","11","Def: 11  Flex: 4.7  No Inj. Adjustment.","-13.9","","3.4","","14.4","G1: 51","89.4","90.1","52","Low","No","1006152","","","","","✔","24",""
"✓       ✕","Mid","Max Holmes","GEE","11","Mid: 11  Flex: 5  No Inj. Adjustment.","-23.7","","5.5","","12.3","Official: 98","102.7","90.4","23","Low","No","1015889","","","","","✔","26","Role: May get pushed to a wing/half back with Worple and others entering the midfield."
"✓       ✕","Mid","Tom Liberatore","WBD","10.6","Mid: 10.6  Flex: 4.6  No Inj. Adjustment.","-24.1","","5.7","","12.1","G1: 106 Official: 115","99.6","90","59","Medium","No","290799","","","","","✔","23","Role: Halfback flank."
"✓       ✕","Def","Liam Duggan","WCE","10.6","Def: 10.6  Flex: 4.3  No Inj. Adjustment.","-14.3","","3.6","","14.2","","79.1","89.7","133","Low","No","298268","","","","","✔","21",""
"✓       ✕","Mid","George Wardlaw","NTH","9.9","Mid: 9.9  Flex: 4.7  Susp. or Inj. Adjust: -1.3","-23.3","","5.4","","12.4","","68","90.8","163","High","No","1023477","","","","","✔","13","Injury: Hamstring strain, unlikely to start season. Role: Likely full time mid. TOG can be low, may be due to injury history."
"✓       ✕","Mid","Josh Ward","HAW","9.7","Mid: 9.7  Flex: 3.7  No Inj. Adjustment.","-25","","6","","11.8","G1: 82 Official: 97","75","89.1","157","Low","No","1017110","","","","","✔","25","Role: #2 mid until Day is back, #3? after."
"✓       ✕","Fwd","Sam Darcy","WBD","9.6","Fwd: 9.6  Flex: -5.8  No Inj. Adjustment.","-29.3","","9.4","","8.4","","82.2","79.6","47","Medium","No","1017126","","","","","✔","17","Interrupted pre-season: Sore after SoO, likely play Rd0. Role: One of the only good scoring Key Forwards. Despite projection, could go 90. So Punt/move up order."
"✓       ✕","Def","Bailey Dale","WBD","9.6","Def: 9.6  Flex: 3.5  Susp. or Inj. Adjust: -0.4","-14.9","","3.8","","14","G1: 12","92","89.1","35","Medium","No","996708","","","","","✔","23","Injury: Knee, Return Rd 1. Low grade MCL."
"✓       ✕","Mid","Jai Newcombe","HAW","9.4","Mid: 9.4  Flex: 3.4  No Inj. Adjustment.","-25.3","","6.1","","11.7","G1: 99 Official: 98","86.5","88.8","72","Low","No","1020895","","","","","✔","26",""
"✓       ✕","Mid","Tom Powell","NTH","9.2","Mid: 9.2  Flex: 3.2  No Inj. Adjustment.","-25.5","","6.2","","11.6","G1: 46","86.9","88.6","135","Low","No","1011659","","","","","✔","23","Flag: #4th Banana in the mid field after Wardlaw, but Wardlaw is injured alot."
"✓       ✕","Fwd","Shaun Mannagh","GEE","9","Fwd: 9  Flex: -6.4  No Inj. Adjustment.","-29.9","","9.8","","8","Official: 73","87","79","67","Low","No","993878","","","","","✔","23",""
"✓       ✕","MidFwd","Justin McInerney","SYD","8.9","Mid: -0.5  Fwd: 8.9  Flex: -6.5  No Inj. Adjustment.","-30","Mid: -35.2  Fwd: -30","9.9","Mid: 10.9  Fwd: 9.9","7.9","Official: 62","78.6","78.9","105","Low","Yes","1011936","","","","","✔","17",""
"✓       ✕","Def","James Sicily","HAW","8.7","Def: 8.7  Flex: 2.4  No Inj. Adjustment.","-16.2","","4.2","","13.6","G1: 33 Official: 76","77.7","87.8","111","Medium","No","297566","","","","","✔","23","Interrupted pre-season: Minor shoulder."
"✓       ✕","Mid","Jason Horne-Francis","PTA","8.6","Mid: 8.6  Flex: 3.1  Susp. or Inj. Adjust: -0.7","-25.3","","6.1","","11.7","G1: 15","82.2","88.8","94","High","No","1011640","","","","","✔","15","Injury: Foot issues, return early rounds. Role: Will have more FWD time early in season to build tank. Possible FWD DPP."
"✓       ✕","Mid","Jarrod Berry","BRL","8.6","Mid: 8.6  Flex: 2.6  No Inj. Adjustment.","-26.1","","6.4","","11.4","G1: 72 Official: 68","83.7","88","130","Low","No","998133","","","","","✔","24",""
"✓       ✕","Def","Karl Amon","HAW","8.5","Def: 8.5  Flex: 2.2  No Inj. Adjustment.","-16.4","","4.3","","13.5","G1: 84","87.4","87.6","76","Low","No","297354","","","","","✔","25","Role: Remain HB distributor but did some wing training in PS."
"✓       ✕","MidFwd","Jack Ross","RIC","8.4","Mid: -1  Fwd: 8.4  Flex: -7  No Inj. Adjustment.","-30.5","Mid: -35.7  Fwd: -30.5","10.3","Mid: 11.2  Fwd: 10.3","7.5","G1: 86 Official: 52","73.1","78.4","144","Medium","Yes","1006133","","","","","✔","23",""
"✓       ✕","Mid","Jacob Hopper","RIC","8.4","Mid: 8.4  Flex: 2.4  No Inj. Adjustment.","-26.3","","6.5","","11.3","G1: 33 Official: 48","84.3","87.8","114","Low","No","993903","","","","","✔","23",""
"✓       ✕","Fwd","Harry McKay","CAR","8.3","Fwd: 8.3  Flex: -7.1  No Inj. Adjustment.","-30.6","","10.4","","7.4","G1: 43 Official: 63","78.2","78.3","99","Medium","No","1000953","","","","","✔","12","Interrupted pre-season: Hamstring."
"✓       ✕","Fwd","Connor Macdonald","HAW","8.2","Fwd: 8.2  Flex: -7.2  No Inj. Adjustment.","-30.7","","10.4","","7.4","G1: 110 Official: 86","68.2","78.2","103","Low","No","1017094","","","","","✔","24","Role: 2026 likely playing mid/fwd rotation. Punt/move up rankings."
"✓       ✕","Def","Nick Blakey","SYD","8","Def: 8  Flex: 1.7  No Inj. Adjustment.","-16.9","","4.5","","13.3","G1: 115 Official: 82","85","87.1","71","Low","No","1006028","","","","","✔","23",""
"✓       ✕","Def","Nick Vlastuin","RIC","8","Def: 8  Flex: 2.5  Susp. or Inj. Adjust: -1","-15.7","","4.1","","13.7","","77.3","88.3","145","Medium","No","294674","","","","","✔","22","Injury: Still returning from broken ankle. May miss early rounds."
"✓       ✕","Mid","Angus Sheldrick","SYD","7.9","Mid: 7.9  Flex: 1.9  No Inj. Adjustment.","-26.8","","6.7","","11.1","G1: 40 Official: 111","62","87.3","220","Medium","No","1020339","","","","","✔","20","Role: May get more mid time in 2025. In and out of side. Punt only."
"✓       ✕","Fwd","Mattaes Phillipou","STK","7.7","Fwd: 7.7  Flex: -7.7  No Inj. Adjustment.","-31.2","","10.8","","7","G1: 90","31.4","77.7","120","Medium","No","1020137","","","","","✔","8","Role: Mid time, scored well in role end of 2024. Unhealthy 2025. Punt."
"✓       ✕","Mid","Will Day","HAW","7.6","Mid: 7.6  Flex: 3.4  Susp. or Inj. Adjust: -2.3","-23.8","","5.5","","12.3","","86.8","90.3","171","High","No","1008550","","","","","✔","6","Injury: Shoulder, 5 to 6 Rounds."
"✓       ✕","Fwd","Brent Daniels","GWS","7.4","Fwd: 7.4  Flex: -7.8  Susp. or Inj. Adjust: -1","-30.4","","10.2","","7.6","G1: 7","47.7","78.5","181","High","No","1002251","","","","","✔","6","Injury: Hamstring, Available TBA. Slow return from injured 2025. Punt, could be a top 10 forward."
"✓       ✕","Def","Sam Banks","RIC","7.4","Def: 7.4  Flex: 1.1  No Inj. Adjustment.","-17.5","","4.8","","13","Official: 50","79.2","86.5","109","Low","No","1013197","","","","","✔","22","Interrupted pre-season: Foot stress, should play rd1. Role: Break out 2025, will be used more."
"✓       ✕","Mid","Jack Viney","MEL","6.6","Mid: 6.6  Flex: 3.2  Susp. or Inj. Adjust: -2.9","-23","","5.2","","12.6","","88.4","91.1","91","High","No","291902","","","","","✔","18","Injury: Achilles & Back. Will miss early games."
"✓       ✕","Ruck","Jarrod Witts","GCS","6.6","Ruck: 6.6  Flex: 6.6  No Inj. Adjustment.","-18.5","","0.2","","17.6","G1: 22 Official: 88","92.1","92","44","Low","No","291975","","","","","✔","24","Role: Scoring may be impacted by ruck rules. Hand cuff to Moyle"
"✓       ✕","MidFwd","Ed Langdon","MEL","6.5","Mid: -2.9  Fwd: 6.5  Flex: -8.9  No Inj. Adjustment.","-32.4","Mid: -37.6  Fwd: -32.4","11.8","Mid: 12.3  Fwd: 11.8","6","G1: 37 Official: 42","74.2","76.5","151","Low","Yes","298264","","","","","✔","23",""
"✓       ✕","Def","John Noble","GCS","5.9","Def: 5.9  Flex: -0.4  No Inj. Adjustment.","-19","","5.4","","12.4","G1: 46 Official: 69","89.9","85","70","Low","No","1000072","","","","","✔","25","Role: HB distributor, in a packed line. Scoring shouldn't decline by much."
"✓       ✕","Def","Archie Roberts","ESS","5.5","Def: 5.5  Flex: -0.8  No Inj. Adjustment.","-19.4","","5.6","","12.2","G1: 96","85.9","84.6","64","Low","No","1023515","","","","","✔","23","Role: midfield clock or distributor. May get the full Nic Martin role. Scoring shouldn't decline"
"✓       ✕","Def","Trent Rivers","MEL","5.4","Def: 5.4  Flex: -0.9  No Inj. Adjustment.","-19.5","","5.6","","12.2","G1: 69 Official: 56","82.4","84.5","100","Low","No","1009378","","","","","✔","23","Disappointing scoring in mid or half back role. Should get more opportunity with injuries and players leaving MEL."
"✓       ✕","MidFwd","Darcy Wilson","STK","5.3","Mid: -4.1  Fwd: 5.3  Flex: -10.1  No Inj. Adjustment.","-33.6","Mid: -38.8  Fwd: -33.6","12.8","Mid: 13.1  Fwd: 12.8","5","G1: 81","63.7","75.3","197","Low","Yes","1027875","","","","","✔","18",""
"✓       ✕","Mid","Elliot Yeo","WCE","5.3","Mid: 5.3  Flex: -0.7  No Inj. Adjustment.","-29.4","","7.9","","9.9","G1: 66","","84.7","112","High","No","292128","","","","","✔","","Role: Back to midfield after no games in 2025. Hasn't looked good in match sim."
"✓       ✕","Def","Tom McCarthy","WCE","5.2","Def: 5.2  Flex: -1.1  No Inj. Adjustment.","-19.7","","5.7","","12.1","G1: 75","83.5","84.3","60","Medium","No","1036124","","","","","✔","10","Role: Likely full Mid with some Half back. Role change may not increase scoring"
"✓       ✕","Fwd","Lincoln McCarthy","BRL","5","Fwd: 5  Flex: -10.4  No Inj. Adjustment.","-33.9","","13","","4.8","G1: 37 Official: 89","","75","378","High","No","293581","","","","","✔","","Interrupted pre-season: Coming back from ACL. Role: May return early playing down back or outside mid. Punt."
